Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,xG,xAG,xG+xAG,npxG,npxG+xAG,Team
Mads Roerslev,dk DEN,DF,24.0,34,22,1985.0,1.0,2.0,0.9,1.8,0.12,0.9,2.7,Brentford
Bryan Mbeumo,cm CMR,FW,23.0,25,22,1960.0,9.0,6.0,9.8,4.6,0.66,7.4,12.1,Brentford
Kristoffer Ajer,no NOR,DF,25.0,28,21,1832.0,2.0,1.0,1.3,2.3,0.18,1.3,3.6,Brentford
Ivan Toney,eng ENG,FW,27.0,17,16,1450.0,4.0,2.0,6.0,1.5,0.46,6.0,7.4,Brentford
Keane Lewis-Potter,eng ENG,"FW,DF",22.0,30,15,1441.0,3.0,1.0,6.3,1.7,0.5,6.3,8.0,Brentford
Ben Mee,eng ENG,DF,33.0,16,15,1272.0,2.0,0.0,1.5,0.3,0.13,1.5,1.8,Brentford
Sergio Reguilón,es ESP,DF,26.0,16,14,1118.0,0.0,4.0,0.8,2.8,0.29,0.8,3.6,Brentford
Neal Maupay,fr FRA,FW,26.0,29,13,1321.0,6.0,3.0,5.7,2.3,0.55,5.7,8.1,Brentford
Mathias Jørgensen,dk DEN,DF,33.0,14,12,1087.0,1.0,0.0,0.7,0.9,0.14,0.7,1.7,Brentford
Frank Onyeka,ng NGA,MF,25.0,26,11,1161.0,1.0,2.0,2.2,1.8,0.31,2.2,4.0,Brentford
Aaron Hickey,sct SCO,DF,21.0,9,9,713.0,0.0,0.0,0.2,0.1,0.04,0.2,0.3,Brentford
Mikkel Damsgaard,dk DEN,MF,23.0,23,7,842.0,0.0,2.0,0.9,1.4,0.25,0.9,2.4,Brentford
Saman Ghoddos,ir IRN,DF,29.0,19,7,739.0,1.0,0.0,0.3,1.1,0.17,0.3,1.4,Brentford
Yehor Yarmoliuk,ua UKR,MF,19.0,27,6,688.0,0.0,0.0,1.0,0.1,0.14,1.0,1.1,Brentford
Rico Henry,eng ENG,DF,26.0,5,5,401.0,0.0,1.0,0.1,1.0,0.24,0.1,1.1,Brentford
Kevin Schade,de GER,"FW,MF",21.0,11,3,333.0,2.0,1.0,1.2,0.7,0.52,1.2,1.9,Brentford
Shandon Baptiste,gd GRN,MF,25.0,10,2,229.0,1.0,1.0,0.9,0.2,0.43,0.9,1.1,Brentford
Thomas Strakosha,al ALB,GK,28.0,2,1,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford
Michael Olakigbe,eng ENG,"DF,FW",19.0,8,0,59.0,0.0,0.0,0.1,0.0,0.18,0.1,0.1,Brentford
Josh Dasilva,eng ENG,"DF,FW",24.0,3,0,24.0,0.0,0.0,0.0,0.2,0.72,0.0,0.2,Brentford
Myles Peart-Harris,eng ENG,"DF,MF",20.0,3,0,13.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,Brentford
Val Adedokun,ie IRL,FW,20.0,0,0,,,,,,,,,Brentford
Vincent Angelini,sct SCO,GK,19.0,0,0,,,,,,,,,Brentford
Benjamin Arthur,eng ENG,DF,17.0,0,0,,,,,,,,,Brentford
Ellery Balcombe,eng ENG,GK,23.0,0,0,,,,,,,,,Brentford
Ethan Brierley,eng ENG,MF,19.0,0,0,,,,,,,,,Brentford
Yunus Emre Konak,tr TUR,MF,17.0,0,0,,,,,,,,,Brentford
Benjamin Fredrick,ng NGA,DF,18.0,0,0,,,,,,,,,Brentford
Charlie Goode,eng ENG,DF,27.0,0,0,,,,,,,,,Brentford
Kim Jisoo,kr KOR,DF,18.0,0,0,,,,,,,,,Brentford
Hákon Rafn Valdimarsson,is ISL,GK,21.0,0,0,,,,,,,,,Brentford
Ryan Trevitt,eng ENG,MF,20.0,0,0,,,,,,,,,Brentford
Morgan Gibbs-White,eng ENG,"MF,FW",23.0,37,35,3156.0,5.0,10.0,6.9,8.4,0.44,6.1,14.6,Nottingham-Forest
Murillo,br BRA,DF,21.0,32,32,2789.0,0.0,2.0,1.8,1.2,0.1,1.8,3.0,Nottingham-Forest
Anthony Elanga,se SWE,"FW,MF",21.0,36,25,2433.0,5.0,9.0,6.6,6.7,0.49,6.6,13.3,Nottingham-Forest
Ryan Yates,eng ENG,MF,25.0,35,21,1992.0,1.0,1.0,2.6,0.8,0.16,2.6,3.5,Nottingham-Forest
Callum Hudson-Odoi,eng ENG,"FW,MF",22.0,29,20,1854.0,8.0,1.0,2.7,2.8,0.27,2.7,5.5,Nottingham-Forest
Chris Wood,nz NZL,FW,31.0,31,20,1812.0,14.0,1.0,11.9,2.1,0.7,11.9,14.0,Nottingham-Forest
Danilo,br BRA,MF,22.0,29,20,1792.0,2.0,2.0,1.8,1.5,0.17,1.8,3.4,Nottingham-Forest
Ola Aina,ng NGA,DF,26.0,22,20,1692.0,1.0,1.0,0.3,0.9,0.06,0.3,1.2,Nottingham-Forest
Orel Mangala,be BEL,MF,25.0,20,19,1563.0,1.0,0.0,0.8,0.2,0.06,0.8,1.1,Nottingham-Forest
Nicolás Domínguez,ar ARG,"MF,FW",25.0,26,19,1495.0,2.0,2.0,1.3,1.0,0.14,1.3,2.3,Nottingham-Forest
Neco Williams,wls WAL,DF,22.0,26,18,1637.0,0.0,1.0,0.8,1.6,0.13,0.8,2.5,Nottingham-Forest
Willy Boly,ci CIV,DF,32.0,20,18,1438.0,2.0,1.0,1.5,1.3,0.18,1.5,2.8,Nottingham-Forest
Matt Turner,us USA,GK,29.0,17,17,1530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Matz Sels,be BEL,GK,31.0,16,16,1440.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,Nottingham-Forest
Moussa Niakhate,sn SEN,DF,27.0,21,15,1460.0,1.0,0.0,1.1,0.1,0.08,1.1,1.2,Nottingham-Forest
Harry Toffolo,eng ENG,DF,27.0,23,15,1459.0,1.0,3.0,1.6,1.5,0.2,1.6,3.2,Nottingham-Forest
Ibrahim Sangaré,ci CIV,MF,25.0,17,13,1035.0,0.0,0.0,0.6,0.4,0.09,0.6,1.0,Nottingham-Forest
Taiwo Awoniyi,ng NGA,FW,25.0,20,12,1042.0,6.0,3.0,4.7,1.7,0.56,4.7,6.4,Nottingham-Forest
Serge Aurier,ci CIV,"DF,MF",30.0,12,10,833.0,0.0,2.0,0.2,0.5,0.07,0.2,0.6,Nottingham-Forest
Gonzalo Montiel,ar ARG,DF,26.0,14,8,801.0,0.0,2.0,0.1,1.4,0.17,0.1,1.5,Nottingham-Forest
Andrew Omobamidele,ie IRL,DF,21.0,11,8,783.0,0.0,0.0,0.1,0.1,0.03,0.1,0.2,Nottingham-Forest
Divock Origi,be BEL,FW,28.0,20,6,606.0,0.0,1.0,1.4,2.1,0.51,1.4,3.5,Nottingham-Forest
Nuno Tavares,pt POR,DF,23.0,8,5,457.0,0.0,0.0,0.2,0.5,0.13,0.2,0.7,Nottingham-Forest
Odisseas Vlachodimos,gr GRE,GK,29.0,5,5,450.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,Nottingham-Forest
Joe Worrall,eng ENG,DF,26.0,7,5,439.0,0.0,0.0,0.1,0.2,0.06,0.1,0.3,Nottingham-Forest
Scott McKenna,sct SCO,DF,26.0,5,5,416.0,0.0,0.0,0.2,0.2,0.08,0.2,0.4,Nottingham-Forest
Felipe,br BRA,DF,34.0,7,4,375.0,0.0,0.0,0.1,0.1,0.04,0.1,0.2,Nottingham-Forest
Brennan Johnson,wls WAL,"FW,MF",22.0,3,3,237.0,0.0,0.0,0.3,0.2,0.21,0.3,0.5,Nottingham-Forest
Gio Reyna,us USA,"FW,MF",20.0,9,2,235.0,0.0,1.0,0.3,0.5,0.29,0.3,0.8,Nottingham-Forest
Cheikhou Kouyaté,sn SEN,MF,33.0,12,2,212.0,0.0,0.0,0.3,0.0,0.14,0.3,0.3,Nottingham-Forest
Rodrigo Ribeiro,pt POR,"MF,FW",18.0,4,0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Andrey Santos,br BRA,MF,19.0,1,0,8.0,0.0,0.0,0.1,0.0,0.64,0.1,0.1,Nottingham-Forest
Brandon Aguilera,cr CRC,FW,20.0,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham-Forest
Remo Freuler,ch SUI,MF,31.0,0,0,,,,,,,,,Nottingham-Forest
Joe Gardner,eng ENG,DF,18.0,0,0,,,,,,,,,Nottingham-Forest
Wayne Hennessey,wls WAL,GK,36.0,0,0,,,,,,,,,Nottingham-Forest
Ethan Horvath,us USA,GK,28.0,0,0,,,,,,,,,Nottingham-Forest
Jamie McDonnell,nir NIR,MF,19.0,0,0,,,,,,,,,Nottingham-Forest
Lewis O'Brien,eng ENG,MF,24.0,0,0,,,,,,,,,Nottingham-Forest
Detlef Osong,eng ENG,FW,18.0,0,0,,,,,,,,,Nottingham-Forest
Hwang Ui-jo,kr KOR,"FW,MF",30.0,0,0,,,,,,,,,Nottingham-Forest
Thomas Kaminski,be BEL,GK,30.0,38,38,3405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luton-Town
Alfie Doughty,eng ENG,DF,23.0,37,34,2925.0,2.0,8.0,1.3,6.3,0.23,1.3,7.6,Luton-Town
Carlton Morris,eng ENG,"FW,MF",27.0,38,32,2862.0,11.0,4.0,11.4,2.8,0.45,7.5,10.2,Luton-Town
Ross Barkley,eng ENG,MF,29.0,32,30,2618.0,5.0,4.0,4.1,3.7,0.27,4.1,7.9,Luton-Town
Teden Mengi,eng ENG,DF,21.0,30,28,2469.0,1.0,0.0,0.6,0.3,0.03,0.6,0.9,Luton-Town
Gabriel Osho,ng NGA,DF,24.0,21,21,1846.0,2.0,0.0,1.1,0.1,0.06,1.1,1.2,Luton-Town
Issa Kaboré,bf BFA,DF,22.0,24,21,1729.0,0.0,2.0,0.2,2.1,0.12,0.2,2.3,Luton-Town
Amari'i Bell,jm JAM,DF,29.0,21,21,1720.0,0.0,0.0,0.3,0.5,0.04,0.3,0.7,Luton-Town
Chiedozie Ogbene,ie IRL,"MF,DF",26.0,30,20,1995.0,4.0,1.0,4.2,3.1,0.33,4.2,7.4,Luton-Town
Tahith Chong,nl NED,"MF,FW",23.0,33,20,1982.0,4.0,0.0,2.7,0.5,0.15,2.7,3.2,Luton-Town
Reece Burke,eng ENG,DF,26.0,22,20,1660.0,0.0,4.0,1.3,1.4,0.15,1.3,2.7,Luton-Town
Elijah Adebayo,eng ENG,FW,25.0,27,16,1419.0,10.0,0.0,5.9,0.7,0.42,5.9,6.6,Luton-Town
Albert Sambi Lokonga,be BEL,MF,23.0,17,16,1303.0,1.0,3.0,0.6,1.4,0.14,0.6,2.0,Luton-Town
Jordan Clark,eng ENG,MF,29.0,23,14,1304.0,1.0,1.0,1.0,1.3,0.16,1.0,2.2,Luton-Town
Andros Townsend,eng ENG,"MF,FW",32.0,27,14,1210.0,1.0,3.0,1.2,1.3,0.19,1.2,2.5,Luton-Town
Tom Lockyer,wls WAL,DF,28.0,14,14,1169.0,1.0,1.0,1.1,0.6,0.13,1.1,1.7,Luton-Town
Marvelous Nakamba,zw ZIM,MF,29.0,13,13,1130.0,0.0,0.0,0.2,0.4,0.05,0.2,0.6,Luton-Town
Jacob Brown,sct SCO,"MF,FW",25.0,19,12,1019.0,2.0,0.0,2.8,0.7,0.3,2.8,3.4,Luton-Town
Pelly Ruddock Mpanzu,cd COD,MF,30.0,27,11,1101.0,0.0,0.0,0.6,0.4,0.09,0.6,1.1,Luton-Town
Daiki Hashioka,jp JPN,DF,24.0,10,6,595.0,0.0,0.0,0.1,0.7,0.12,0.1,0.8,Luton-Town
Ryan John Giles,eng ENG,"DF,MF",23.0,11,5,503.0,0.0,0.0,0.1,0.2,0.06,0.1,0.3,Luton-Town
Fred Onyedinma,eng ENG,"DF,MF",26.0,8,4,407.0,0.0,0.0,0.2,0.1,0.06,0.2,0.3,Luton-Town
Mads Juel Andersen,dk DEN,DF,25.0,8,4,400.0,1.0,0.0,0.3,0.0,0.06,0.3,0.3,Luton-Town
Cauley Woodrow,eng ENG,"FW,MF",28.0,24,2,427.0,1.0,1.0,1.4,1.2,0.55,1.4,2.6,Luton-Town
Luke Berry,eng ENG,"MF,DF",31.0,17,2,323.0,2.0,1.0,1.0,0.3,0.35,1.0,1.3,Luton-Town
Joseph Johnson,eng ENG,DF,17.0,2,0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luton-Town
James Shea,eng ENG,GK,32.0,1,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luton-Town
Zack Nelson,eng ENG,"MF,DF",18.0,2,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Luton-Town
Allan Campbell,sct SCO,MF,25.0,0,0,,,,,,,,,Luton-Town
Christian Chigozie,eng ENG,DF,16.0,0,0,,,,,,,,,Luton-Town
Aidan Francis,eng ENG,DF,19.0,0,0,,,,,,,,,Luton-Town
Taylan Harris,eng ENG,FW,17.0,0,0,,,,,,,,,Luton-Town
Tim Krul,nl NED,GK,35.0,0,0,,,,,,,,,Luton-Town
Jayden Luker,eng ENG,MF,18.0,0,0,,,,,,,,,Luton-Town
Dominic Martins,pt POR,MF,17.0,0,0,,,,,,,,,Luton-Town
John Mcatee,eng ENG,"FW,MF",24.0,0,0,,,,,,,,,Luton-Town
Axel Piesold,eng ENG,MF,18.0,0,0,,,,,,,,,Luton-Town
Dan Potts,eng ENG,DF,29.0,0,0,,,,,,,,,Luton-Town
Sander Berge,no NOR,MF,25.0,37,34,3005.0,1.0,2.0,1.9,2.4,0.13,1.9,4.3,Burnley
Dara O'Shea,ie IRL,DF,24.0,33,32,2892.0,3.0,4.0,0.7,2.0,0.08,0.7,2.7,Burnley
James Trafford,eng ENG,GK,20.0,28,28,2520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley
Zeki Amdouni,ch SUI,FW,22.0,34,27,1953.0,5.0,1.0,5.8,1.4,0.33,5.0,6.5,Burnley
Vitinho,br BRA,"DF,MF",24.0,32,26,2314.0,0.0,2.0,1.6,1.3,0.11,1.6,2.9,Burnley
Charlie Taylor,eng ENG,DF,29.0,28,25,2331.0,1.0,1.0,0.2,1.2,0.06,0.2,1.5,Burnley
Wilson Odobert,fr FRA,"MF,FW",18.0,29,25,2098.0,3.0,2.0,2.8,3.3,0.26,2.8,6.1,Burnley
Josh Brownhill,eng ENG,MF,27.0,33,23,2252.0,4.0,2.0,1.9,2.1,0.16,1.9,4.0,Burnley
Josh Cullen,ie IRL,MF,27.0,25,23,2057.0,2.0,3.0,0.6,1.8,0.11,0.6,2.4,Burnley
Lyle Foster,za RSA,"FW,MF",22.0,24,22,1899.0,5.0,3.0,4.5,1.9,0.3,4.5,6.4,Burnley
Jacob Bruun Larsen,dk DEN,"MF,FW",24.0,32,16,1249.0,6.0,0.0,5.0,1.5,0.46,4.2,5.7,Burnley
Maxime Estève,fr FRA,DF,21.0,16,15,1309.0,0.0,0.0,0.3,0.0,0.02,0.3,0.3,Burnley
Lorenz Assignon,tg TOG,DF,23.0,15,15,1234.0,1.0,2.0,0.4,2.6,0.22,0.4,3.0,Burnley
Jordan Beyer,de GER,DF,23.0,15,15,1234.0,0.0,1.0,0.5,0.3,0.06,0.5,0.8,Burnley
Luca Koleosho,it ITA,"MF,FW",18.0,15,13,974.0,1.0,1.0,2.0,1.3,0.3,2.0,3.3,Burnley
Jóhann Berg Guðmundsson,is ISL,"MF,FW",32.0,26,12,1192.0,1.0,3.0,1.9,2.7,0.34,1.9,4.5,Burnley
Ameen Al-Dakhil,be BEL,DF,21.0,13,12,1056.0,1.0,0.0,1.3,0.1,0.12,1.3,1.4,Burnley
Arijanet Muric,xk KVX,GK,24.0,10,10,900.0,0.0,0.0,0.0,0.2,0.02,0.0,0.2,Burnley
David Datro Fofana,ci CIV,FW,20.0,15,10,879.0,4.0,1.0,4.5,1.8,0.65,4.5,6.4,Burnley
Connor Roberts,wls WAL,DF,27.0,14,8,823.0,0.0,1.0,0.0,0.2,0.02,0.0,0.2,Burnley
Jay Rodriguez,eng ENG,FW,34.0,21,7,822.0,2.0,1.0,3.5,0.2,0.4,2.7,2.9,Burnley
Hannes Delcroix,be BEL,DF,24.0,12,5,589.0,0.0,0.0,0.4,0.2,0.09,0.4,0.6,Burnley
Aaron Ramsey,eng ENG,"MF,FW",20.0,14,5,527.0,0.0,0.0,0.3,0.4,0.13,0.3,0.7,Burnley
Hjalmar Ekdal,se SWE,DF,24.0,8,5,437.0,0.0,0.0,0.1,0.1,0.03,0.1,0.1,Burnley
Mike Trésor,be BEL,"FW,MF",24.0,16,3,420.0,0.0,0.0,0.5,0.4,0.18,0.5,0.9,Burnley
Anass Zaroury,ma MAR,"FW,MF",22.0,6,1,152.0,0.0,0.0,0.2,0.0,0.12,0.2,0.2,Burnley
Benson Manuel,ao ANG,"MF,FW",26.0,8,1,116.0,0.0,0.0,0.1,0.0,0.08,0.1,0.1,Burnley
Nathan Redmond,eng ENG,"FW,MF",29.0,12,0,142.0,0.0,0.0,0.0,0.3,0.19,0.0,0.3,Burnley
Jack Cork,eng ENG,MF,34.0,4,0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley
Michael Obafemi,ie IRL,"FW,MF",23.0,2,0,20.0,0.0,0.0,0.1,0.0,0.4,0.1,0.1,Burnley
Han-Noah Massengo,fr FRA,"MF,DF",22.0,3,0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley
CJ Egan-Riley,eng ENG,DF,20.0,0,0,,,,,,,,,Burnley
Lawrence Vigouroux,cl CHI,GK,29.0,0,0,,,,,,,,,Burnley
Gustavo Hamer,nl NED,MF,26.0,36,34,2910.0,4.0,6.0,3.0,6.1,0.28,3.0,9.1,Sheffield-United
Jayden Bogle,eng ENG,DF,23.0,34,32,2788.0,3.0,0.0,2.3,1.0,0.11,2.3,3.3,Sheffield-United
Jack Robinson,eng ENG,DF,29.0,34,31,2885.0,1.0,1.0,1.2,1.2,0.08,1.2,2.4,Sheffield-United
Vinicius Souza,br BRA,MF,24.0,36,29,2668.0,1.0,0.0,0.6,0.2,0.03,0.6,0.8,Sheffield-United
Anel Ahmedhodžić,ba BIH,DF,24.0,31,29,2649.0,2.0,0.0,3.1,0.8,0.14,3.1,4.0,Sheffield-United
Wes Foderingham,eng ENG,GK,32.0,30,29,2649.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,Sheffield-United
Auston Trusty,us USA,DF,24.0,32,28,2572.0,0.0,0.0,0.4,1.1,0.05,0.4,1.5,Sheffield-United
Cameron Archer,eng ENG,"FW,MF",22.0,29,21,1832.0,4.0,1.0,5.5,2.8,0.41,5.5,8.3,Sheffield-United
James Mcatee,eng ENG,"MF,FW",20.0,30,20,1822.0,3.0,3.0,3.1,2.9,0.3,2.3,5.2,Sheffield-United
Oliver Norwood,nir NIR,MF,32.0,27,16,1440.0,1.0,0.0,1.1,0.6,0.11,0.3,0.9,Sheffield-United
Oliver McBurnie,sct SCO,FW,27.0,21,15,1280.0,6.0,3.0,6.9,2.0,0.62,5.3,7.3,Sheffield-United
Ben Osborn,eng ENG,"DF,MF",28.0,24,14,1367.0,0.0,2.0,0.2,0.9,0.07,0.2,1.1,Sheffield-United
Ben Brereton,cl CHI,"FW,MF",24.0,14,14,1105.0,6.0,1.0,6.1,1.5,0.61,5.3,6.7,Sheffield-United
Andre Brooks,eng ENG,"MF,DF",19.0,20,12,938.0,0.0,0.0,0.4,0.1,0.05,0.4,0.5,Sheffield-United
George Baldock,gr GRE,DF,30.0,13,11,969.0,0.0,1.0,0.0,0.8,0.08,0.0,0.8,Sheffield-United
Oliver Arblaster,eng ENG,MF,19.0,12,11,943.0,0.0,0.0,0.0,0.7,0.07,0.0,0.8,Sheffield-United
Luke Thomas,eng ENG,DF,22.0,12,11,917.0,0.0,0.0,0.5,0.1,0.06,0.5,0.6,Sheffield-United
William Osula,dk DEN,FW,19.0,21,9,786.0,0.0,0.0,1.6,0.1,0.2,1.6,1.7,Sheffield-United
Ivo Grbić,hr CRO,GK,27.0,9,9,771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Mason Holgate,eng ENG,DF,26.0,10,9,710.0,0.0,0.0,0.6,0.4,0.13,0.6,1.1,Sheffield-United
Yasser Larouci,dz ALG,DF,22.0,11,6,531.0,0.0,0.0,0.2,0.3,0.09,0.2,0.5,Sheffield-United
John Egan,ie IRL,DF,30.0,6,6,482.0,0.0,0.0,0.2,0.0,0.03,0.2,0.2,Sheffield-United
Max Lowe,eng ENG,"DF,MF",26.0,10,4,503.0,0.0,0.0,0.6,0.7,0.23,0.6,1.3,Sheffield-United
Anis Ben Slimane,tn TUN,MF,22.0,15,4,419.0,0.0,0.0,0.8,0.3,0.23,0.8,1.1,Sheffield-United
Bénie Adama Traore,ci CIV,"FW,MF",20.0,8,3,387.0,0.0,0.0,0.3,0.5,0.19,0.3,0.8,Sheffield-United
Rhian Brewster,eng ENG,"FW,MF",23.0,13,3,346.0,0.0,0.0,0.4,0.1,0.12,0.4,0.5,Sheffield-United
Chris Basham,eng ENG,"DF,MF",35.0,8,3,321.0,0.0,0.0,0.1,0.3,0.1,0.1,0.4,Sheffield-United
Tom Davies,eng ENG,MF,25.0,9,2,221.0,0.0,0.0,0.4,0.1,0.17,0.4,0.4,Sheffield-United
Rhys Norrington-Davies,wls WAL,DF,24.0,5,2,110.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,Sheffield-United
John Fleck,sct SCO,"MF,DF",31.0,4,1,92.0,0.0,0.0,0.0,0.4,0.44,0.0,0.4,Sheffield-United
Sam Curtis,ie IRL,DF,17.0,1,0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Daniel Jebbison,eng ENG,FW,19.0,1,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Antwoine Hackford,eng ENG,FW,19.0,2,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Sydie Peck,eng ENG,MF,18.0,1,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Ryan One,sct SCO,FW,17.0,1,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sheffield-United
Jordan Amissah,gh GHA,GK,21.0,0,0,,,,,,,,,Sheffield-United
Billy Blacker,eng ENG,FW,17.0,0,0,,,,,,,,,Sheffield-United
Jili Buyabu,eng ENG,MF,21.0,0,0,,,,,,,,,Sheffield-United
Ismaila Cheick Coulibaly,ml MLI,MF,22.0,0,0,,,,,,,,,Sheffield-United
Adam Davies,wls WAL,GK,31.0,0,0,,,,,,,,,Sheffield-United
Owen Hampson,eng ENG,MF,18.0,0,0,,,,,,,,,Sheffield-United
Louie Marsh,eng ENG,FW,19.0,0,0,,,,,,,,,Sheffield-United
Dovydas Sasnauskas,,DF,,0,0,,,,,,,,,Sheffield-United
Femi Seriki,eng ENG,DF,21.0,0,0,,,,,,,,,Sheffield-United
